               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.062056,             0.15604,            0.030565,             0.46246,             0.23702,             0.23121,              0.1184,            0.067935,             0.12554,            0.043374,            0.005347,            0.005347,            0.005347
                  49,            0.061219,             0.15328,            0.030042,              0.5188,             0.24766,             0.23206,             0.12109,            0.066868,             0.12451,            0.042787,            0.005248,            0.005248,            0.005248
                  50,            0.061522,             0.15749,            0.030214,             0.52356,             0.25444,             0.23553,             0.11956,            0.067093,             0.12413,            0.042378,            0.005149,            0.005149,            0.005149
                  51,            0.060944,             0.15552,            0.029888,             0.46487,             0.24177,             0.23191,             0.11971,            0.067294,             0.12555,            0.042706,             0.00505,             0.00505,             0.00505
                  52,              0.0611,             0.15489,            0.029754,             0.38947,             0.26558,             0.23314,             0.11694,            0.068477,             0.12599,            0.043107,            0.004951,            0.004951,            0.004951
                  53,            0.060742,               0.153,            0.029475,             0.41745,              0.2512,             0.23382,             0.12197,             0.06752,             0.12661,            0.042646,            0.004852,            0.004852,            0.004852
                  54,            0.060429,             0.15509,            0.029032,             0.40869,             0.25293,              0.2378,             0.12068,            0.066811,             0.12566,            0.042939,            0.004753,            0.004753,            0.004753
                  55,            0.060699,             0.15632,            0.028881,             0.40896,             0.25052,             0.23856,             0.11884,             0.06756,             0.12524,            0.043938,            0.004654,            0.004654,            0.004654
                  56,            0.060463,             0.15489,             0.02882,             0.35805,             0.26299,             0.24039,             0.12659,            0.066444,             0.12422,            0.042549,            0.004555,            0.004555,            0.004555
                  57,            0.060648,             0.15248,            0.028487,             0.46869,              0.2452,             0.23877,             0.12438,            0.066763,             0.12483,            0.042792,            0.004456,            0.004456,            0.004456
                  58,            0.060181,             0.15461,            0.028383,             0.45707,             0.24921,             0.23455,             0.11765,            0.068129,             0.12651,            0.043409,            0.004357,            0.004357,            0.004357
                  59,            0.060412,             0.15448,            0.027891,             0.40089,             0.26675,             0.24156,             0.12325,            0.066969,             0.12589,             0.04252,            0.004258,            0.004258,            0.004258
                  60,            0.060125,              0.1532,            0.028186,             0.40023,             0.26657,             0.24418,             0.12405,            0.066925,             0.12493,            0.042575,            0.004159,            0.004159,            0.004159
                  61,            0.059812,             0.15326,            0.027942,             0.41293,             0.25689,             0.23598,             0.11982,            0.067934,             0.12805,            0.044099,             0.00406,             0.00406,             0.00406
                  62,             0.05965,             0.15384,              0.0276,             0.33877,             0.25913,             0.23917,             0.12252,            0.067197,             0.12711,            0.042291,            0.003961,            0.003961,            0.003961
                  63,            0.059229,             0.15004,            0.026938,             0.39172,              0.2554,             0.23495,              0.1205,            0.067334,             0.12627,            0.043503,            0.003862,            0.003862,            0.003862
                  64,            0.058966,              0.1489,             0.02723,             0.46273,             0.25161,             0.23962,             0.12423,            0.066825,             0.12582,            0.043092,            0.003763,            0.003763,            0.003763
                  65,            0.059721,             0.15154,             0.02719,             0.39503,             0.25773,             0.23824,             0.12194,            0.067252,             0.12723,            0.043404,            0.003664,            0.003664,            0.003664
                  66,            0.058958,             0.15088,            0.026527,             0.40181,             0.25519,             0.23855,             0.12276,            0.067037,             0.12921,            0.044052,            0.003565,            0.003565,            0.003565
                  67,            0.058661,             0.15016,             0.02621,             0.40445,             0.25598,             0.23899,             0.12115,            0.067826,             0.12954,            0.043659,            0.003466,            0.003466,            0.003466
                  68,            0.058832,             0.14939,            0.026316,             0.39816,              0.2692,              0.2386,             0.11896,            0.067654,             0.12722,            0.042902,            0.003367,            0.003367,            0.003367
                  69,            0.058782,             0.15152,            0.026029,             0.32571,             0.26843,             0.23544,             0.12019,             0.06794,             0.12907,            0.044539,            0.003268,            0.003268,            0.003268
                  70,            0.058389,             0.14836,            0.026473,             0.33875,             0.25419,             0.23247,             0.11712,            0.067946,             0.12839,            0.042901,            0.003169,            0.003169,            0.003169
                  71,            0.058456,             0.15186,            0.025758,             0.40634,             0.25341,             0.23483,             0.11763,            0.068305,             0.12719,            0.043562,             0.00307,             0.00307,             0.00307
                  72,            0.058365,             0.15159,            0.025621,             0.39976,             0.26048,             0.24038,               0.122,            0.067799,             0.12793,            0.043031,            0.002971,            0.002971,            0.002971
                  73,            0.058244,             0.14937,             0.02547,             0.35054,             0.26363,             0.24024,             0.12158,            0.067564,             0.12931,             0.04328,            0.002872,            0.002872,            0.002872
                  74,            0.058188,             0.14928,            0.025445,              0.3909,             0.27261,             0.24114,             0.12576,            0.066897,              0.1282,            0.042951,            0.002773,            0.002773,            0.002773
                  75,            0.058036,             0.14761,            0.025309,             0.40431,             0.27085,             0.23994,             0.12472,            0.066976,             0.12899,            0.043455,            0.002674,            0.002674,            0.002674
                  76,            0.058288,             0.15025,            0.025036,             0.40548,             0.26056,             0.23729,             0.12169,            0.067395,              0.1274,            0.043396,            0.002575,            0.002575,            0.002575
                  77,            0.057572,             0.14719,            0.024616,             0.33747,               0.257,             0.23221,             0.11966,            0.068004,             0.13033,            0.044186,            0.002476,            0.002476,            0.002476
                  78,            0.057698,             0.14451,            0.024872,              0.4027,             0.26114,             0.23655,             0.12166,            0.067585,             0.13004,            0.043872,            0.002377,            0.002377,            0.002377
                  79,            0.057685,             0.14578,            0.024983,             0.40902,             0.26554,             0.23835,             0.12199,            0.067977,             0.12862,            0.043812,            0.002278,            0.002278,            0.002278
                  80,            0.057546,              0.1485,            0.024566,             0.34068,             0.25943,             0.23805,             0.12144,            0.067686,             0.13035,            0.043393,            0.002179,            0.002179,            0.002179
